"PassengerClass","Sex","No of Siblings or Spouses on Board","No of Parents or Children on Board","Port of Embarkation","Age","Passenger Fare","Survived","id","outlier_flag","Distance Outlier"
"First","Female",0,0,"Southampton",29.0,211.3375,"Yes",1,"No Outlier","false"
"First","Male",1,2,"Southampton",0.9167,151.55,"Yes",2,"No Outlier","true"
"First","Female",1,2,"Southampton",2.0,151.55,"No",3,"No Outlier","true"
"First","Male",1,2,"Southampton",30.0,151.55,"No",4,"No Outlier","false"
"First","Female",1,2,"Southampton",25.0,151.55,"No",5,"No Outlier","false"
"First","Male",0,0,"Southampton",48.0,26.55,"Yes",6,"No Outlier","false"
"First","Female",1,0,"Southampton",63.0,77.9583,"Yes",7,"No Outlier","false"
"First","Male",0,0,"Southampton",39.0,0.0,"No",8,"No Outlier","false"
"First","Female",2,0,"Southampton",53.0,51.4792,"Yes",9,"No Outlier","false"
"First","Male",0,0,"Cherbourg",71.0,49.5042,"No",10,"No Outlier","false"
"First","Male",1,0,"Cherbourg",47.0,227.525,"No",11,"No Outlier","false"
"First","Female",1,0,"Cherbourg",18.0,227.525,"Yes",12,"No Outlier","false"
"First","Female",0,0,"Cherbourg",24.0,69.3,"Yes",13,"No Outlier","false"
"First","Female",0,0,"Southampton",26.0,78.85,"Yes",14,"No Outlier","false"
"First","Male",0,0,"Southampton",80.0,30.0,"Yes",15,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,25.925,"No",16,"No Outlier","false"
"First","Male",0,1,"Cherbourg",24.0,247.5208,"No",17,"No Outlier","false"
"First","Female",0,1,"Cherbourg",50.0,247.5208,"Yes",18,"No Outlier","false"
"First","Female",0,0,"Cherbourg",32.0,76.2917,"Yes",19,"No Outlier","false"
"First","Male",0,0,"Cherbourg",36.0,75.2417,"No",20,"No Outlier","false"
"First","Male",1,1,"Southampton",37.0,52.5542,"Yes",21,"No Outlier","false"
"First","Female",1,1,"Southampton",47.0,52.5542,"Yes",22,"No Outlier","false"
"First","Male",0,0,"Cherbourg",26.0,30.0,"Yes",23,"No Outlier","false"
"First","Female",0,0,"Cherbourg",42.0,227.525,"Yes",24,"No Outlier","false"
"First","Female",0,0,"Southampton",29.0,221.7792,"Yes",25,"No Outlier","false"
"First","Male",0,0,"Cherbourg",25.0,26.0,"No",26,"No Outlier","false"
"First","Male",1,0,"Cherbourg",25.0,91.0792,"Yes",27,"No Outlier","false"
"First","Female",1,0,"Cherbourg",19.0,91.0792,"Yes",28,"No Outlier","false"
"First","Female",0,0,"Southampton",35.0,135.6333,"Yes",29,"No Outlier","false"
"First","Male",0,0,"Southampton",28.0,26.55,"Yes",30,"No Outlier","false"
"First","Male",0,0,"Southampton",45.0,35.5,"No",31,"No Outlier","false"
"First","Male",0,0,"Cherbourg",40.0,31.0,"Yes",32,"No Outlier","false"
"First","Female",0,0,"Southampton",30.0,164.8667,"Yes",33,"No Outlier","false"
"First","Female",0,0,"Southampton",58.0,26.55,"Yes",34,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,26.55,"No",35,"No Outlier","false"
"First","Female",0,0,"Cherbourg",45.0,262.375,"Yes",36,"No Outlier","false"
"First","Female",0,1,"Southampton",22.0,55.0,"Yes",37,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,26.55,"Yes",38,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,30.5,"No",39,"No Outlier","false"
"First","Male",0,0,"Cherbourg",48.0,50.4958,"No",40,"No Outlier","false"
"First","Male",0,0,"Cherbourg",41.0,39.6,"No",41,"No Outlier","false"
"First","Female",0,0,"Cherbourg",44.0,27.7208,"Yes",42,"No Outlier","false"
"First","Female",2,0,"Southampton",59.0,51.4792,"Yes",43,"No Outlier","false"
"First","Female",0,0,"Cherbourg",60.0,76.2917,"Yes",44,"No Outlier","false"
"First","Female",0,0,"Cherbourg",41.0,134.5,"Yes",45,"No Outlier","false"
"First","Male",0,0,"Southampton",45.0,26.55,"No",46,"No Outlier","false"
"First","Male",0,0,"Southampton",35.0,31.0,"No",47,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,26.2875,"Yes",48,"No Outlier","false"
"First","Female",0,0,"Cherbourg",53.0,27.4458,"Yes",49,"No Outlier","false"
"First","Male",0,1,"Cherbourg",36.0,512.3292,"Yes",50,"Outlier","true"
"First","Female",0,1,"Cherbourg",58.0,512.3292,"Yes",51,"Outlier","true"
"First","Male",0,0,"Southampton",33.0,5.0,"No",52,"No Outlier","false"
"First","Male",0,0,"Southampton",28.0,47.1,"No",53,"No Outlier","false"
"First","Male",0,0,"Southampton",17.0,47.1,"No",54,"No Outlier","false"
"First","Male",1,2,"Southampton",11.0,120.0,"Yes",55,"No Outlier","false"
"First","Female",1,2,"Southampton",14.0,120.0,"Yes",56,"No Outlier","false"
"First","Male",1,2,"Southampton",36.0,120.0,"Yes",57,"No Outlier","false"
"First","Female",1,2,"Southampton",36.0,120.0,"Yes",58,"No Outlier","false"
"First","Male",0,0,"Southampton",49.0,26.0,"No",59,"No Outlier","false"
"First","Female",0,0,"Cherbourg",40.0,27.7208,"Yes",60,"No Outlier","false"
"First","Male",1,0,"Southampton",36.0,78.85,"No",61,"No Outlier","false"
"First","Female",1,0,"Southampton",76.0,78.85,"Yes",62,"No Outlier","false"
"First","Male",1,0,"Southampton",46.0,61.175,"No",63,"No Outlier","false"
"First","Female",1,0,"Southampton",47.0,61.175,"Yes",64,"No Outlier","false"
"First","Male",1,0,"Southampton",27.0,53.1,"Yes",65,"No Outlier","false"
"First","Female",1,0,"Southampton",33.0,53.1,"Yes",66,"No Outlier","false"
"First","Female",0,0,"Cherbourg",36.0,262.375,"Yes",67,"No Outlier","false"
"First","Female",0,0,"Southampton",30.0,86.5,"Yes",68,"No Outlier","false"
"First","Male",0,0,"Cherbourg",45.0,29.7,"Yes",69,"No Outlier","false"
"First","Female",0,1,"Southampton",27.0,55.0,"Yes",70,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,0.0,"No",71,"No Outlier","false"
"First","Male",1,0,"Cherbourg",27.0,136.7792,"No",72,"No Outlier","false"
"First","Female",1,0,"Cherbourg",26.0,136.7792,"Yes",73,"No Outlier","false"
"First","Female",0,0,"Southampton",22.0,151.55,"Yes",74,"No Outlier","false"
"First","Male",0,0,"Southampton",39.0,52.0,"No",75,"No Outlier","false"
"First","Male",0,0,"Southampton",47.0,25.5875,"No",76,"No Outlier","false"
"First","Female",1,1,"Cherbourg",39.0,83.1583,"Yes",77,"No Outlier","false"
"First","Male",1,1,"Cherbourg",37.0,83.1583,"No",78,"No Outlier","false"
"First","Female",0,2,"Cherbourg",64.0,83.1583,"Yes",79,"No Outlier","false"
"First","Female",2,0,"Southampton",55.0,25.7,"Yes",80,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,26.55,"No",81,"No Outlier","false"
"First","Male",1,1,"Southampton",70.0,71.0,"No",82,"No Outlier","false"
"First","Female",0,2,"Southampton",36.0,71.0,"Yes",83,"No Outlier","false"
"First","Female",1,1,"Southampton",64.0,26.55,"Yes",84,"No Outlier","false"
"First","Male",1,0,"Cherbourg",39.0,71.2833,"No",85,"No Outlier","false"
"First","Female",1,0,"Cherbourg",38.0,71.2833,"Yes",86,"No Outlier","false"
"First","Male",0,0,"Southampton",51.0,26.55,"Yes",87,"No Outlier","false"
"First","Male",0,0,"Southampton",27.0,30.5,"Yes",88,"No Outlier","false"
"First","Female",0,0,"Southampton",33.0,151.55,"Yes",89,"No Outlier","false"
"First","Male",1,0,"Southampton",31.0,52.0,"No",90,"No Outlier","false"
"First","Female",1,2,"Southampton",27.0,52.0,"Yes",91,"No Outlier","false"
"First","Male",1,0,"Southampton",31.0,57.0,"Yes",92,"No Outlier","false"
"First","Female",1,0,"Southampton",17.0,57.0,"Yes",93,"No Outlier","false"
"First","Male",1,1,"Southampton",53.0,81.8583,"Yes",94,"No Outlier","false"
"First","Male",0,2,"Southampton",4.0,81.8583,"Yes",95,"No Outlier","false"
"First","Female",1,1,"Southampton",54.0,81.8583,"Yes",96,"No Outlier","false"
"First","Male",1,0,"Cherbourg",50.0,106.425,"No",97,"No Outlier","false"
"First","Female",1,1,"Cherbourg",27.0,247.5208,"Yes",98,"No Outlier","false"
"First","Female",1,0,"Cherbourg",48.0,106.425,"Yes",99,"No Outlier","false"
"First","Female",1,0,"Cherbourg",48.0,39.6,"Yes",100,"No Outlier","false"
"First","Male",1,0,"Cherbourg",49.0,56.9292,"Yes",101,"No Outlier","false"
"First","Male",0,0,"Cherbourg",39.0,29.7,"No",102,"No Outlier","false"
"First","Female",0,1,"Cherbourg",23.0,83.1583,"Yes",103,"No Outlier","false"
"First","Female",0,0,"Cherbourg",38.0,227.525,"Yes",104,"No Outlier","false"
"First","Female",1,0,"Cherbourg",54.0,78.2667,"Yes",105,"No Outlier","false"
"First","Female",0,0,"Cherbourg",36.0,31.6792,"No",106,"No Outlier","false"
"First","Male",0,0,"Southampton",43.0,221.7792,"No",107,"No Outlier","false"
"First","Female",0,0,"Southampton",39.0,31.6833,"Yes",108,"No Outlier","false"
"First","Female",0,0,"Cherbourg",40.0,110.8833,"Yes",109,"No Outlier","false"
"First","Male",0,0,"Southampton",36.0,26.3875,"Yes",110,"No Outlier","false"
"First","Male",0,0,"Cherbourg",30.0,27.75,"No",111,"No Outlier","false"
"First","Female",3,2,"Southampton",24.0,263.0,"Yes",112,"No Outlier","false"
"First","Female",3,2,"Southampton",28.0,263.0,"Yes",113,"No Outlier","false"
"First","Female",3,2,"Southampton",23.0,263.0,"Yes",114,"No Outlier","false"
"First","Male",3,2,"Southampton",19.0,263.0,"No",115,"No Outlier","false"
"First","Male",1,4,"Southampton",64.0,263.0,"No",116,"No Outlier","true"
"First","Female",1,4,"Southampton",60.0,263.0,"Yes",117,"No Outlier","true"
"First","Female",0,0,"Cherbourg",30.0,56.9292,"Yes",118,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,26.55,"No",119,"No Outlier","false"
"First","Male",2,0,"Southampton",50.0,133.65,"Yes",120,"No Outlier","false"
"First","Male",1,0,"Cherbourg",43.0,27.7208,"Yes",121,"No Outlier","false"
"First","Female",1,0,"Southampton",45.0,133.65,"Yes",122,"No Outlier","false"
"First","Female",0,2,"Cherbourg",22.0,49.5,"Yes",123,"No Outlier","false"
"First","Male",1,1,"Cherbourg",60.0,79.2,"Yes",124,"No Outlier","false"
"First","Female",1,1,"Cherbourg",48.0,79.2,"Yes",125,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,0.0,"No",126,"No Outlier","false"
"First","Male",1,0,"Southampton",37.0,53.1,"No",127,"No Outlier","false"
"First","Female",1,0,"Southampton",35.0,53.1,"Yes",128,"No Outlier","false"
"First","Male",0,0,"Southampton",47.0,38.5,"No",129,"No Outlier","false"
"First","Female",0,0,"Cherbourg",35.0,211.5,"Yes",130,"No Outlier","false"
"First","Female",0,1,"Cherbourg",22.0,59.4,"Yes",131,"No Outlier","false"
"First","Female",0,1,"Cherbourg",45.0,59.4,"Yes",132,"No Outlier","false"
"First","Male",0,0,"Cherbourg",24.0,79.2,"No",133,"No Outlier","false"
"First","Male",1,0,"Cherbourg",49.0,89.1042,"Yes",134,"No Outlier","false"
"First","Female",1,0,"Cherbourg",44.0,89.1042,"Yes",135,"No Outlier","false"
"First","Male",0,0,"Cherbourg",71.0,34.6542,"No",136,"No Outlier","false"
"First","Male",0,0,"Cherbourg",53.0,28.5,"Yes",137,"No Outlier","false"
"First","Female",0,0,"Southampton",19.0,30.0,"Yes",138,"No Outlier","false"
"First","Male",0,1,"Southampton",38.0,153.4625,"No",139,"No Outlier","false"
"First","Female",0,1,"Southampton",58.0,153.4625,"Yes",140,"No Outlier","false"
"First","Male",0,1,"Cherbourg",23.0,63.3583,"Yes",141,"No Outlier","false"
"First","Female",0,1,"Cherbourg",45.0,63.3583,"Yes",142,"No Outlier","false"
"First","Male",0,0,"Cherbourg",46.0,79.2,"No",143,"No Outlier","false"
"First","Male",1,0,"Cherbourg",25.0,55.4417,"Yes",144,"No Outlier","false"
"First","Female",1,0,"Cherbourg",25.0,55.4417,"Yes",145,"No Outlier","false"
"First","Male",1,0,"Cherbourg",48.0,76.7292,"Yes",146,"No Outlier","false"
"First","Female",1,0,"Cherbourg",49.0,76.7292,"Yes",147,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,42.4,"No",148,"No Outlier","false"
"First","Male",1,0,"Southampton",45.0,83.475,"No",149,"No Outlier","false"
"First","Female",1,0,"Southampton",35.0,83.475,"Yes",150,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,0.0,"No",151,"No Outlier","false"
"First","Male",0,0,"Cherbourg",27.0,76.7292,"Yes",152,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,30.0,"Yes",153,"No Outlier","false"
"First","Female",0,0,"Cherbourg",24.0,83.1583,"Yes",154,"No Outlier","false"
"First","Male",1,1,"Southampton",55.0,93.5,"No",155,"No Outlier","false"
"First","Female",1,1,"Southampton",52.0,93.5,"Yes",156,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,42.5,"No",157,"No Outlier","false"
"First","Male",0,0,"Southampton",39.0,51.8625,"No",158,"No Outlier","false"
"First","Male",0,0,"Southampton",55.0,50.0,"No",159,"No Outlier","false"
"First","Female",0,1,"Cherbourg",16.0,57.9792,"Yes",160,"No Outlier","false"
"First","Female",0,1,"Cherbourg",44.0,57.9792,"Yes",161,"No Outlier","false"
"First","Female",1,0,"Southampton",51.0,77.9583,"Yes",162,"No Outlier","false"
"First","Male",1,0,"Southampton",42.0,52.0,"No",163,"No Outlier","false"
"First","Female",1,0,"Southampton",35.0,52.0,"Yes",164,"No Outlier","false"
"First","Male",0,0,"Cherbourg",35.0,26.55,"Yes",165,"No Outlier","false"
"First","Male",1,0,"Southampton",38.0,90.0,"Yes",166,"No Outlier","false"
"First","Male",0,0,"Cherbourg",38.0,30.6958,"No",167,"No Outlier","false"
"First","Female",1,0,"Southampton",35.0,90.0,"Yes",168,"No Outlier","false"
"First","Female",0,0,"Cherbourg",38.0,80.0,"Yes",169,"No Outlier","false"
"First","Female",0,0,"Cherbourg",50.0,28.7125,"No",170,"No Outlier","false"
"First","Male",0,0,"Southampton",49.0,0.0,"Yes",171,"No Outlier","false"
"First","Male",0,0,"Southampton",46.0,26.0,"No",172,"No Outlier","false"
"First","Male",0,0,"Southampton",50.0,26.0,"No",173,"No Outlier","false"
"First","Male",0,0,"Cherbourg",32.5,211.5,"No",174,"No Outlier","false"
"First","Male",0,0,"Cherbourg",58.0,29.7,"No",175,"No Outlier","false"
"First","Male",1,0,"Southampton",41.0,51.8625,"No",176,"No Outlier","false"
"First","Female",1,0,"Southampton",41.0,51.8625,"Yes",177,"No Outlier","false"
"First","Male",1,0,"Southampton",42.0,52.5542,"Yes",178,"No Outlier","false"
"First","Female",1,0,"Southampton",45.0,52.5542,"Yes",179,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,26.55,"No",180,"No Outlier","false"
"First","Female",0,0,"Southampton",39.0,211.3375,"Yes",181,"No Outlier","false"
"First","Female",0,0,"Southampton",49.0,25.9292,"Yes",182,"No Outlier","false"
"First","Female",0,0,"Cherbourg",30.0,106.425,"Yes",183,"No Outlier","false"
"First","Male",0,0,"Cherbourg",35.0,512.3292,"Yes",184,"Outlier","true"
"First","Male",0,0,"Cherbourg",39.0,27.7208,"No",185,"No Outlier","false"
"First","Male",0,0,"Southampton",42.0,26.55,"No",186,"No Outlier","false"
"First","Female",0,0,"Cherbourg",55.0,27.7208,"Yes",187,"No Outlier","false"
"First","Female",0,1,"Southampton",16.0,39.4,"Yes",188,"No Outlier","false"
"First","Female",0,1,"Southampton",51.0,39.4,"Yes",189,"No Outlier","false"
"First","Male",0,0,"Southampton",29.0,30.0,"No",190,"No Outlier","false"
"First","Female",0,0,"Southampton",21.0,77.9583,"Yes",191,"No Outlier","false"
"First","Male",0,0,"Southampton",30.0,45.5,"No",192,"No Outlier","false"
"First","Female",0,0,"Cherbourg",58.0,146.5208,"Yes",193,"No Outlier","false"
"First","Female",0,1,"Southampton",15.0,211.3375,"Yes",194,"No Outlier","false"
"First","Male",0,0,"Southampton",30.0,26.0,"No",195,"No Outlier","false"
"First","Female",0,0,"Southampton",16.0,86.5,"Yes",196,"No Outlier","false"
"First","Male",0,0,"Cherbourg",45.0,29.7,"Yes",197,"No Outlier","false"
"First","Male",1,0,"Southampton",19.0,53.1,"No",198,"No Outlier","false"
"First","Female",1,0,"Southampton",18.0,53.1,"Yes",199,"No Outlier","false"
"First","Female",0,0,"Cherbourg",24.0,49.5042,"Yes",200,"No Outlier","false"
"First","Male",0,0,"Cherbourg",46.0,75.2417,"No",201,"No Outlier","false"
"First","Male",0,0,"Southampton",54.0,51.8625,"No",202,"No Outlier","false"
"First","Male",0,0,"Southampton",36.0,26.2875,"Yes",203,"No Outlier","false"
"First","Male",1,0,"Cherbourg",28.0,82.1708,"No",204,"No Outlier","false"
"First","Female",1,0,"Cherbourg",38.0,82.1708,"Yes",205,"No Outlier","false"
"First","Male",0,0,"Southampton",65.0,26.55,"No",206,"No Outlier","false"
"First","Male",2,0,"Queenstown",44.0,90.0,"No",207,"No Outlier","false"
"First","Female",1,0,"Queenstown",33.0,90.0,"Yes",208,"No Outlier","false"
"First","Female",1,0,"Queenstown",37.0,90.0,"Yes",209,"No Outlier","false"
"First","Male",1,0,"Cherbourg",30.0,57.75,"Yes",210,"No Outlier","false"
"First","Male",0,0,"Southampton",55.0,30.5,"No",211,"No Outlier","false"
"First","Male",0,0,"Southampton",47.0,42.4,"No",212,"No Outlier","false"
"First","Male",0,1,"Cherbourg",37.0,29.7,"No",213,"No Outlier","false"
"First","Female",1,0,"Cherbourg",31.0,113.275,"Yes",214,"No Outlier","false"
"First","Female",1,0,"Cherbourg",23.0,113.275,"Yes",215,"No Outlier","false"
"First","Male",0,2,"Cherbourg",58.0,113.275,"No",216,"No Outlier","false"
"First","Female",0,2,"Southampton",19.0,26.2833,"Yes",217,"No Outlier","false"
"First","Male",0,0,"Southampton",64.0,26.0,"No",218,"No Outlier","false"
"First","Female",0,0,"Cherbourg",39.0,108.9,"Yes",219,"No Outlier","false"
"First","Male",0,0,"Cherbourg",41.0,25.7417,"Yes",220,"No Outlier","false"
"First","Female",0,1,"Cherbourg",22.0,61.9792,"Yes",221,"No Outlier","false"
"First","Male",0,1,"Cherbourg",65.0,61.9792,"No",222,"No Outlier","false"
"First","Male",0,0,"Cherbourg",28.5,27.7208,"No",223,"No Outlier","false"
"First","Male",0,0,"Southampton",41.0,0.0,"No",224,"No Outlier","false"
"First","Male",0,0,"Southampton",45.5,28.5,"No",225,"No Outlier","false"
"First","Male",0,0,"Southampton",23.0,93.5,"No",226,"No Outlier","false"
"First","Male",1,0,"Southampton",29.0,66.6,"No",227,"No Outlier","false"
"First","Female",1,0,"Southampton",22.0,66.6,"Yes",228,"No Outlier","false"
"First","Male",1,0,"Cherbourg",18.0,108.9,"No",229,"No Outlier","false"
"First","Female",1,0,"Cherbourg",17.0,108.9,"Yes",230,"No Outlier","false"
"First","Female",0,0,"Southampton",30.0,93.5,"Yes",231,"No Outlier","false"
"First","Male",0,0,"Southampton",52.0,30.5,"Yes",232,"No Outlier","false"
"First","Male",0,0,"Southampton",47.0,52.0,"No",233,"No Outlier","false"
"First","Female",0,1,"Cherbourg",56.0,83.1583,"Yes",234,"No Outlier","false"
"First","Male",0,0,"Southampton",38.0,0.0,"No",235,"No Outlier","false"
"First","Male",0,0,"Southampton",39.0,39.6,"Yes",236,"No Outlier","false"
"First","Male",0,0,"Cherbourg",22.0,135.6333,"No",237,"No Outlier","false"
"First","Male",0,0,"Cherbourg",39.0,227.525,"No",238,"No Outlier","false"
"First","Female",0,1,"Southampton",43.0,211.3375,"Yes",239,"No Outlier","false"
"First","Male",0,0,"Southampton",31.0,50.4958,"No",240,"No Outlier","false"
"First","Male",0,0,"Southampton",45.0,26.55,"Yes",241,"No Outlier","false"
"First","Male",0,0,"Southampton",38.0,50.0,"No",242,"No Outlier","false"
"First","Female",0,0,"Cherbourg",33.0,27.7208,"Yes",243,"No Outlier","false"
"First","Male",0,0,"Cherbourg",46.0,79.2,"No",244,"No Outlier","false"
"First","Male",0,0,"Cherbourg",36.0,40.125,"No",245,"No Outlier","false"
"First","Female",0,0,"Southampton",33.0,86.5,"Yes",246,"No Outlier","false"
"First","Male",1,0,"Cherbourg",55.0,59.4,"No",247,"No Outlier","false"
"First","Female",1,0,"Cherbourg",54.0,59.4,"Yes",248,"No Outlier","false"
"First","Male",0,0,"Southampton",33.0,26.55,"No",249,"No Outlier","false"
"First","Male",2,2,"Cherbourg",13.0,262.375,"Yes",250,"No Outlier","true"
"First","Female",2,2,"Cherbourg",18.0,262.375,"Yes",251,"No Outlier","false"
"First","Female",2,2,"Cherbourg",21.0,262.375,"Yes",252,"No Outlier","false"
"First","Male",1,3,"Cherbourg",61.0,262.375,"No",253,"No Outlier","true"
"First","Female",1,3,"Cherbourg",48.0,262.375,"Yes",254,"No Outlier","false"
"First","Male",0,0,"Southampton",44.0,30.5,"Yes",255,"No Outlier","false"
"First","Female",0,0,"Cherbourg",24.0,69.3,"Yes",256,"No Outlier","false"
"First","Male",0,0,"Southampton",40.0,26.0,"Yes",257,"No Outlier","false"
"First","Female",1,0,"Cherbourg",35.0,57.75,"Yes",258,"No Outlier","false"
"First","Female",0,0,"Cherbourg",30.0,31.0,"Yes",259,"No Outlier","false"
"First","Male",0,0,"Southampton",34.0,26.55,"Yes",260,"No Outlier","false"
