Passenger Class,Sex,Age,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Port of Embarkation
First,Female,29,0,0,211.3375,Southampton
First,Male,0.9167,1,2,151.55,Southampton
First,Female,2,1,2,151.55,Southampton
First,Male,30,1,2,151.55,Southampton
First,Female,25,1,2,151.55,Southampton
First,Male,48,0,0,26.55,Southampton
First,Female,63,1,0,77.9583,Southampton
First,Male,39,0,0,0,Southampton
First,Female,53,2,0,51.4792,Southampton
First,Male,71,0,0,49.5042,Cherbourg
First,Male,47,1,0,227.525,Cherbourg
First,Female,18,1,0,227.525,Cherbourg
First,Female,24,0,0,69.3,Cherbourg
First,Female,26,0,0,78.85,Southampton
First,Male,80,0,0,30,Southampton
First,Male,41,0,0,25.925,Southampton
First,Male,24,0,1,247.5208,Cherbourg
First,Female,50,0,1,247.5208,Cherbourg
First,Female,32,0,0,76.2917,Cherbourg
First,Male,36,0,0,75.2417,Cherbourg
First,Male,37,1,1,52.5542,Southampton
First,Female,47,1,1,52.5542,Southampton
First,Male,26,0,0,30,Cherbourg
First,Female,42,0,0,227.525,Cherbourg
First,Female,29,0,0,221.7792,Southampton
First,Male,25,0,0,26,Cherbourg
First,Male,25,1,0,91.0792,Cherbourg
First,Female,19,1,0,91.0792,Cherbourg
First,Female,35,0,0,135.6333,Southampton
First,Male,28,0,0,26.55,Southampton
First,Male,45,0,0,35.5,Southampton
First,Male,40,0,0,31,Cherbourg
First,Female,30,0,0,164.8667,Southampton
First,Female,58,0,0,26.55,Southampton
First,Male,42,0,0,26.55,Southampton
First,Female,45,0,0,262.375,Cherbourg
First,Female,22,0,1,55,Southampton
First,Male,41,0,0,26.55,Southampton
First,Male,41,0,0,30.5,Southampton
First,Male,48,0,0,50.4958,Cherbourg
First,Male,41,0,0,39.6,Cherbourg
First,Female,44,0,0,27.7208,Cherbourg
First,Female,59,2,0,51.4792,Southampton
First,Female,60,0,0,76.2917,Cherbourg
First,Female,41,0,0,134.5,Cherbourg
First,Male,45,0,0,26.55,Southampton
First,Male,35,0,0,31,Southampton
First,Male,42,0,0,26.2875,Southampton
First,Female,53,0,0,27.4458,Cherbourg
First,Male,36,0,1,512.3292,Cherbourg
First,Female,58,0,1,512.3292,Cherbourg
First,Male,33,0,0,5,Southampton
First,Male,28,0,0,47.1,Southampton
First,Male,17,0,0,47.1,Southampton
First,Male,11,1,2,120,Southampton
First,Female,14,1,2,120,Southampton
First,Male,36,1,2,120,Southampton
First,Female,36,1,2,120,Southampton
First,Male,49,0,0,26,Southampton
First,Female,40,0,0,27.7208,Cherbourg
First,Male,36,1,0,78.85,Southampton
First,Female,76,1,0,78.85,Southampton
First,Male,46,1,0,61.175,Southampton
First,Female,47,1,0,61.175,Southampton
First,Male,27,1,0,53.1,Southampton
First,Female,33,1,0,53.1,Southampton
First,Female,36,0,0,262.375,Cherbourg
First,Female,30,0,0,86.5,Southampton
First,Male,45,0,0,29.7,Cherbourg
First,Female,27,0,1,55,Southampton
First,Male,41,0,0,0,Southampton
First,Male,27,1,0,136.7792,Cherbourg
First,Female,26,1,0,136.7792,Cherbourg
First,Female,22,0,0,151.55,Southampton
First,Male,39,0,0,52,Southampton
First,Male,47,0,0,25.5875,Southampton
First,Female,39,1,1,83.1583,Cherbourg
First,Male,37,1,1,83.1583,Cherbourg
First,Female,64,0,2,83.1583,Cherbourg
First,Female,55,2,0,25.7,Southampton
First,Male,40,0,0,26.55,Southampton
First,Male,70,1,1,71,Southampton
First,Female,36,0,2,71,Southampton
First,Female,64,1,1,26.55,Southampton
First,Male,39,1,0,71.2833,Cherbourg
First,Female,38,1,0,71.2833,Cherbourg
First,Male,51,0,0,26.55,Southampton
First,Male,27,0,0,30.5,Southampton
First,Female,33,0,0,151.55,Southampton
First,Male,31,1,0,52,Southampton
First,Female,27,1,2,52,Southampton
First,Male,31,1,0,57,Southampton
First,Female,17,1,0,57,Southampton
First,Male,53,1,1,81.8583,Southampton
First,Male,4,0,2,81.8583,Southampton
First,Female,54,1,1,81.8583,Southampton
First,Male,50,1,0,106.425,Cherbourg
First,Female,27,1,1,247.5208,Cherbourg
First,Female,48,1,0,106.425,Cherbourg
First,Female,48,1,0,39.6,Cherbourg
First,Male,49,1,0,56.9292,Cherbourg
First,Male,39,0,0,29.7,Cherbourg
First,Female,23,0,1,83.1583,Cherbourg
First,Female,38,0,0,227.525,Cherbourg
First,Female,54,1,0,78.2667,Cherbourg
First,Female,36,0,0,31.6792,Cherbourg
First,Male,43,0,0,221.7792,Southampton
First,Female,39,0,0,31.6833,Southampton
First,Female,40,0,0,110.8833,Cherbourg
First,Male,36,0,0,26.3875,Southampton
First,Male,30,0,0,27.75,Cherbourg
First,Female,24,3,2,263,Southampton
First,Female,28,3,2,263,Southampton
First,Female,23,3,2,263,Southampton
First,Male,19,3,2,263,Southampton
First,Male,64,1,4,263,Southampton
First,Female,60,1,4,263,Southampton
First,Female,30,0,0,56.9292,Cherbourg
First,Male,40,0,0,26.55,Southampton
First,Male,50,2,0,133.65,Southampton
First,Male,43,1,0,27.7208,Cherbourg
First,Female,45,1,0,133.65,Southampton
First,Female,22,0,2,49.5,Cherbourg
First,Male,60,1,1,79.2,Cherbourg
First,Female,48,1,1,79.2,Cherbourg
First,Male,41,0,0,0,Southampton
First,Male,37,1,0,53.1,Southampton
First,Female,35,1,0,53.1,Southampton
First,Male,47,0,0,38.5,Southampton
First,Female,35,0,0,211.5,Cherbourg
First,Female,22,0,1,59.4,Cherbourg
First,Female,45,0,1,59.4,Cherbourg
First,Male,24,0,0,79.2,Cherbourg
First,Male,49,1,0,89.1042,Cherbourg
First,Female,44,1,0,89.1042,Cherbourg
First,Male,71,0,0,34.6542,Cherbourg
First,Male,53,0,0,28.5,Cherbourg
First,Female,19,0,0,30,Southampton
First,Male,38,0,1,153.4625,Southampton
First,Female,58,0,1,153.4625,Southampton
First,Male,23,0,1,63.3583,Cherbourg
First,Female,45,0,1,63.3583,Cherbourg
First,Male,46,0,0,79.2,Cherbourg
First,Male,25,1,0,55.4417,Cherbourg
First,Female,25,1,0,55.4417,Cherbourg
First,Male,48,1,0,76.7292,Cherbourg
First,Female,49,1,0,76.7292,Cherbourg
First,Male,40,0,0,42.4,Southampton
First,Male,45,1,0,83.475,Southampton
First,Female,35,1,0,83.475,Southampton
First,Male,40,0,0,0,Southampton
First,Male,27,0,0,76.7292,Cherbourg
First,Male,40,0,0,30,Southampton
First,Female,24,0,0,83.1583,Cherbourg
First,Male,55,1,1,93.5,Southampton
First,Female,52,1,1,93.5,Southampton
First,Male,42,0,0,42.5,Southampton
First,Male,39,0,0,51.8625,Southampton
First,Male,55,0,0,50,Southampton
First,Female,16,0,1,57.9792,Cherbourg
First,Female,44,0,1,57.9792,Cherbourg
First,Female,51,1,0,77.9583,Southampton
First,Male,42,1,0,52,Southampton
First,Female,35,1,0,52,Southampton
First,Male,35,0,0,26.55,Cherbourg
First,Male,38,1,0,90,Southampton
First,Male,38,0,0,30.6958,Cherbourg
First,Female,35,1,0,90,Southampton
First,Female,38,0,0,80,Cherbourg
First,Female,50,0,0,28.7125,Cherbourg
First,Male,49,0,0,0,Southampton
First,Male,46,0,0,26,Southampton
First,Male,50,0,0,26,Southampton
First,Male,32.5,0,0,211.5,Cherbourg
First,Male,58,0,0,29.7,Cherbourg
First,Male,41,1,0,51.8625,Southampton
First,Female,41,1,0,51.8625,Southampton
First,Male,42,1,0,52.5542,Southampton
First,Female,45,1,0,52.5542,Southampton
First,Male,42,0,0,26.55,Southampton
First,Female,39,0,0,211.3375,Southampton
First,Female,49,0,0,25.9292,Southampton
First,Female,30,0,0,106.425,Cherbourg
First,Male,35,0,0,512.3292,Cherbourg
First,Male,39,0,0,27.7208,Cherbourg
First,Male,42,0,0,26.55,Southampton
First,Female,55,0,0,27.7208,Cherbourg
First,Female,16,0,1,39.4,Southampton
First,Female,51,0,1,39.4,Southampton
First,Male,29,0,0,30,Southampton
First,Female,21,0,0,77.9583,Southampton
First,Male,30,0,0,45.5,Southampton
First,Female,58,0,0,146.5208,Cherbourg
First,Female,15,0,1,211.3375,Southampton
First,Male,30,0,0,26,Southampton
First,Female,16,0,0,86.5,Southampton
First,Male,45,0,0,29.7,Cherbourg
First,Male,19,1,0,53.1,Southampton
First,Female,18,1,0,53.1,Southampton
First,Female,24,0,0,49.5042,Cherbourg
First,Male,46,0,0,75.2417,Cherbourg
First,Male,54,0,0,51.8625,Southampton
First,Male,36,0,0,26.2875,Southampton
First,Male,28,1,0,82.1708,Cherbourg
First,Female,38,1,0,82.1708,Cherbourg
First,Male,65,0,0,26.55,Southampton
First,Male,44,2,0,90,Queenstown
First,Female,33,1,0,90,Queenstown
First,Female,37,1,0,90,Queenstown
First,Male,30,1,0,57.75,Cherbourg
First,Male,55,0,0,30.5,Southampton
First,Male,47,0,0,42.4,Southampton
First,Male,37,0,1,29.7,Cherbourg
First,Female,31,1,0,113.275,Cherbourg
First,Female,23,1,0,113.275,Cherbourg
First,Male,58,0,2,113.275,Cherbourg
First,Female,19,0,2,26.2833,Southampton
First,Male,64,0,0,26,Southampton
First,Female,39,0,0,108.9,Cherbourg
First,Male,41,0,0,25.7417,Cherbourg
First,Female,22,0,1,61.9792,Cherbourg
First,Male,65,0,1,61.9792,Cherbourg
First,Male,28.5,0,0,27.7208,Cherbourg
First,Male,41,0,0,0,Southampton
First,Male,45.5,0,0,28.5,Southampton
First,Male,23,0,0,93.5,Southampton
First,Male,29,1,0,66.6,Southampton
First,Female,22,1,0,66.6,Southampton
First,Male,18,1,0,108.9,Cherbourg
First,Female,17,1,0,108.9,Cherbourg
First,Female,30,0,0,93.5,Southampton
First,Male,52,0,0,30.5,Southampton
First,Male,47,0,0,52,Southampton
First,Female,56,0,1,83.1583,Cherbourg
First,Male,38,0,0,0,Southampton
First,Male,39,0,0,39.6,Southampton
First,Male,22,0,0,135.6333,Cherbourg
First,Male,39,0,0,227.525,Cherbourg
First,Female,43,0,1,211.3375,Southampton
First,Male,31,0,0,50.4958,Southampton
First,Male,45,0,0,26.55,Southampton
First,Male,38,0,0,50,Southampton
First,Female,33,0,0,27.7208,Cherbourg
First,Male,46,0,0,79.2,Cherbourg
First,Male,36,0,0,40.125,Cherbourg
First,Female,33,0,0,86.5,Southampton
First,Male,55,1,0,59.4,Cherbourg
First,Female,54,1,0,59.4,Cherbourg
First,Male,33,0,0,26.55,Southampton
First,Male,13,2,2,262.375,Cherbourg
First,Female,18,2,2,262.375,Cherbourg
First,Female,21,2,2,262.375,Cherbourg
First,Male,61,1,3,262.375,Cherbourg
First,Female,48,1,3,262.375,Cherbourg
First,Male,44,0,0,30.5,Southampton
First,Female,24,0,0,69.3,Cherbourg
First,Male,40,0,0,26,Southampton
First,Female,35,1,0,57.75,Cherbourg
First,Female,30,0,0,31,Cherbourg
First,Male,34,0,0,26.55,Southampton
First,Female,40,0,0,153.4625,Southampton
First,Male,35,0,0,26.2875,Southampton
First,Male,50,1,0,55.9,Southampton
First,Female,39,1,0,55.9,Southampton
First,Male,56,0,0,35.5,Cherbourg
First,Male,28,0,0,35.5,Southampton
First,Male,56,0,0,26.55,Southampton
First,Male,56,0,0,30.6958,Cherbourg
First,Male,24,1,0,60,Southampton
First,Male,40,0,0,26,Southampton
First,Female,18,1,0,60,Southampton
First,Male,24,1,0,82.2667,Southampton
First,Female,23,1,0,82.2667,Southampton
First,Male,6,0,2,134.5,Cherbourg
First,Male,45,1,1,134.5,Cherbourg
First,Female,40,1,1,134.5,Cherbourg
First,Male,57,1,0,146.5208,Cherbourg
First,Female,40,1,0,146.5208,Cherbourg
First,Male,32,0,0,30.5,Cherbourg
First,Male,62,0,0,26.55,Southampton
First,Male,54,1,0,55.4417,Cherbourg
First,Female,43,1,0,55.4417,Cherbourg
First,Female,52,1,0,78.2667,Cherbourg
First,Male,39,0,0,27.7208,Cherbourg
First,Female,62,0,0,80,Cherbourg
First,Male,67,1,0,221.7792,Southampton
First,Female,63,1,0,221.7792,Southampton
First,Male,61,0,0,32.3208,Southampton
First,Female,48,0,0,25.9292,Southampton
First,Female,18,0,2,79.65,Southampton
First,Male,52,1,1,79.65,Southampton
First,Female,39,1,1,79.65,Southampton
First,Male,48,1,0,52,Southampton
First,Female,40,1,0,52,Southampton
First,Male,49,1,1,110.8833,Cherbourg
First,Male,17,0,2,110.8833,Cherbourg
First,Female,39,1,1,110.8833,Cherbourg
First,Female,39,0,0,79.2,Cherbourg
First,Male,31,0,0,28.5375,Cherbourg
First,Male,40,0,0,27.7208,Cherbourg
First,Male,61,0,0,33.5,Southampton
First,Male,47,0,0,34.0208,Southampton
First,Female,35,0,0,512.3292,Cherbourg
First,Male,64,1,0,75.25,Cherbourg
First,Female,60,1,0,75.25,Cherbourg
First,Male,60,0,0,26.55,Southampton
First,Male,54,0,1,77.2875,Southampton
First,Male,21,0,1,77.2875,Southampton
First,Female,55,0,0,135.6333,Cherbourg
First,Female,31,0,2,164.8667,Southampton
First,Male,57,1,1,164.8667,Southampton
First,Female,45,1,1,164.8667,Southampton
First,Male,50,1,1,211.5,Cherbourg
First,Male,27,0,2,211.5,Cherbourg
First,Female,50,1,1,211.5,Cherbourg
First,Female,21,0,0,26.55,Southampton
First,Male,51,0,1,61.3792,Cherbourg
First,Male,21,0,1,61.3792,Cherbourg
First,Male,40,0,0,35,Southampton
First,Female,31,0,0,134.5,Cherbourg
First,Male,40,0,0,35.5,Southampton
First,Male,62,0,0,26.55,Southampton
First,Female,36,0,0,135.6333,Cherbourg
Second,Male,30,1,0,24,Cherbourg
Second,Female,28,1,0,24,Cherbourg
Second,Male,30,0,0,13,Southampton
Second,Male,18,0,0,11.5,Southampton
Second,Male,25,0,0,10.5,Southampton
Second,Male,34,1,0,26,Southampton
Second,Female,36,1,0,26,Southampton
Second,Male,57,0,0,13,Southampton
Second,Male,18,0,0,11.5,Southampton
Second,Male,23,0,0,10.5,Southampton
Second,Female,36,0,0,13,Southampton
Second,Male,28,0,0,10.5,Southampton
Second,Male,51,0,0,12.525,Southampton
Second,Male,32,1,0,26,Southampton
Second,Female,19,1,0,26,Southampton
Second,Male,28,0,0,26,Southampton
Second,Male,1,2,1,39,Southampton
Second,Female,4,2,1,39,Southampton
Second,Female,12,2,1,39,Southampton
Second,Female,36,0,3,39,Southampton
Second,Male,34,0,0,13,Southampton
Second,Female,19,0,0,13,Southampton
Second,Male,23,0,0,13,Southampton
Second,Male,26,0,0,13,Southampton
Second,Male,42,0,0,13,Southampton
Second,Male,27,0,0,13,Southampton
Second,Female,24,0,0,13,Southampton
Second,Female,15,0,2,39,Southampton
Second,Male,60,1,1,39,Southampton
Second,Female,40,1,1,39,Southampton
Second,Female,20,1,0,26,Southampton
Second,Male,25,1,0,26,Southampton
Second,Female,36,0,0,13,Southampton
Second,Male,25,0,0,13,Southampton
Second,Male,42,0,0,13,Southampton
Second,Female,42,0,0,13,Southampton
Second,Male,0.8333,0,2,29,Southampton
Second,Male,26,1,1,29,Southampton
Second,Female,22,1,1,29,Southampton
Second,Female,35,0,0,21,Southampton
Second,Male,39,0,0,0,Southampton
Second,Male,19,0,0,13,Southampton
Second,Female,44,1,0,26,Southampton
Second,Male,54,1,0,26,Southampton
Second,Male,52,0,0,13.5,Southampton
Second,Male,37,1,0,26,Southampton
Second,Female,29,1,0,26,Southampton
Second,Female,25,1,1,30,Southampton
Second,Female,45,0,2,30,Southampton
Second,Male,29,1,0,26,Southampton
Second,Female,28,1,0,26,Southampton
Second,Male,29,0,0,10.5,Southampton
Second,Male,28,0,0,13,Southampton
Second,Male,24,0,0,10.5,Southampton
Second,Female,8,0,2,26.25,Southampton
Second,Male,31,1,1,26.25,Southampton
Second,Female,31,1,1,26.25,Southampton
Second,Female,22,0,0,10.5,Southampton
Second,Female,30,0,0,13,Southampton
Second,Female,31,0,0,21,Southampton
Second,Male,21,0,0,11.5,Southampton
Second,Male,38,0,0,0,Southampton
Second,Male,8,1,1,36.75,Southampton
Second,Male,18,0,0,73.5,Southampton
Second,Female,48,0,2,36.75,Southampton
Second,Female,28,0,0,13,Southampton
Second,Male,32,0,0,13,Southampton
Second,Male,17,0,0,73.5,Southampton
Second,Male,29,1,0,27.7208,Cherbourg
Second,Female,24,1,0,27.7208,Cherbourg
Second,Male,25,0,0,31.5,Southampton
Second,Male,18,0,0,73.5,Southampton
Second,Female,18,0,1,23,Southampton
Second,Female,34,0,1,23,Southampton
Second,Male,54,0,0,26,Southampton
Second,Male,8,0,2,32.5,Southampton
Second,Male,42,1,1,32.5,Southampton
Second,Female,34,1,1,32.5,Southampton
Second,Female,27,1,0,13.8583,Cherbourg
Second,Female,30,1,0,13.8583,Cherbourg
Second,Male,23,0,0,13,Southampton
Second,Male,21,0,0,13,Southampton
Second,Male,18,0,0,13,Southampton
Second,Male,40,1,0,26,Southampton
Second,Female,29,1,0,26,Southampton
Second,Male,18,0,0,10.5,Southampton
Second,Male,36,0,0,13,Southampton
Second,Male,41,0,0,0,Southampton
Second,Female,38,0,0,13,Southampton
Second,Male,35,0,0,26,Southampton
Second,Male,38,1,0,21,Southampton
Second,Male,34,1,0,21,Southampton
Second,Female,34,0,0,13,Southampton
Second,Male,16,0,0,26,Southampton
Second,Male,26,0,0,10.5,Southampton
Second,Male,47,0,0,10.5,Southampton
Second,Male,21,1,0,11.5,Southampton
Second,Male,21,1,0,11.5,Southampton
Second,Male,24,0,0,13.5,Southampton
Second,Male,24,0,0,13,Southampton
Second,Male,34,0,0,13,Southampton
Second,Male,30,0,0,13,Southampton
Second,Male,52,0,0,13,Southampton
Second,Male,30,0,0,13,Southampton
Second,Male,0.6667,1,1,14.5,Southampton
Second,Female,24,0,2,14.5,Southampton
Second,Male,44,0,0,13,Southampton
Second,Female,6,0,1,33,Southampton
Second,Male,28,0,1,33,Southampton
Second,Male,62,0,0,10.5,Southampton
Second,Male,30,0,0,10.5,Southampton
Second,Female,7,0,2,26.25,Southampton
